Server_ID,Hostname,OS_Version,Allocated_vCPU,Allocated_RAM_GB,Peak_CPU_Pct,Avg_CPU_Pct,Storage_GB,App_Name,Business_Tags,Outbound_Connections,requires_manual_audit,Normalized_CPU_Pct
SRV-038,bi-etl-01,RHEL 8,8.0,32.0,95,75,500.0,BI_Analytics,Data_Platform,SRV-040:5432:3000,False,89.0
SRV-039,bi-etl-02,RHEL 8,8.0,32.0,98,80,500.0,BI_Analytics,Data_Platform,SRV-040:5432:3200,False,92.6
SRV-040,dw-master-01,RHEL 8,32.0,256.0,90,85,15000.0,Data_Warehouse,Data_Platform,SRV-041:5432:5000|SRV-042:5432:5000,False,88.5
SRV-041,dw-node-01,RHEL 8,32.0,256.0,85,80,15000.0,Data_Warehouse,Data_Platform,SRV-040:5432:2000,False,83.5
SRV-042,dw-node-02,RHEL 8,32.0,256.0,88,82,15000.0,Data_Warehouse,Data_Platform,SRV-040:5432:2100,False,86.2
SRV-043,jira-server-01,Ubuntu 20.04,4.0,16.0,60,25,200.0,Jira,Internal_Tools,SRV-044:5432:150,False,49.5
SRV-044,jira-db-01,Ubuntu 20.04,4.0,16.0,50,20,300.0,Jira,Internal_Tools,,False,41.0
SRV-045,sp-web-01,Windows Server 2016,4.0,16.0,40,15,150.0,SharePoint,Corp_Comms,SRV-047:1433:100,False,32.5
SRV-046,sp-app-01,Windows Server 2016,4.0,16.0,45,18,200.0,SharePoint,Corp_Comms,SRV-047:1433:150,False,36.9
SRV-047,sp-db-01,SQL Server 2016,8.0,32.0,55,25,1000.0,SharePoint,Corp_Comms,,False,46.0
SRV-048,blog-wp-01,Ubuntu 22.04,1.0,2.0,25,5,40.0,Corp_Blog,Marketing,SRV-049:3306:10,False,19.0
SRV-049,blog-db-01,Ubuntu 22.04,1.0,2.0,15,3,50.0,Corp_Blog,Marketing,,False,11.4
SRV-050,util-filesrv-01,Windows Server 2019,2.0,8.0,20,8,2000.0,File_Server,Internal_Tools,,False,16.4
